"title","author","alt_titles","year","series","is_omnibus","contained_titles","spine_color","spine_hex"
"Designing Data-Intensive Applications","Martin Kleppmann","","2017","","false","","",""
"Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","Clean Code","2008","","false","","",""
"The Pragmatic Programmer","David Thomas and Andrew Hunt","The Pragmatic Programmer: Your Journey to Mastery","1999","","false","","",""
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Aurelien Geron","Hands-On Machine Learning","2019","","false","","",""
"Deep Learning","Ian Goodfellow and Yoshua Bengio and Aaron Courville","","2016","","false","","",""
"Artificial Intelligence: A Modern Approach","Stuart Russell and Peter Norvig","AIMA","2020","","false","","",""
"The Mythical Man-Month","Frederick P. Brooks Jr.","The Mythical Man-Month: Essays on Software Engineering","1975","","false","","",""
"Refactoring: Improving the Design of Existing Code","Martin Fowler","Refactoring","2018","","false","","",""
"Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma and Richard Helm and Ralph Johnson and John Vlissides","Gang of Four Book","1994","","false","","",""
"Structure and Interpretation of Computer Programs","Harold Abelson and Gerald Jay Sussman","SICP","1985","","false","","",""
"Introduction to Algorithms","Cormen and Leiserson and Rivest and Stein","CLRS","2009","","false","","",""
"Cracking the Coding Interview","Gayle Laakmann McDowell","","2015","","false","","",""
"The Phoenix Project","Gene Kim and Kevin Behr and George Spafford","","2013","The Phoenix Project Trilogy","false","","",""
"Site Reliability Engineering","Betsy Beyer and Chris Jones and Jennifer Petoff and Niall Richard Murphy","SRE Book","2016","","false","","",""
"Building Microservices","Sam Newman","","2015","","false","","",""
"Database Internals","Alex Petrov","","2019","","false","","",""
"Grokking Algorithms","Aditya Bhargava","","2016","","false","","",""
"Fluent Python","Luciano Ramalho","","2015","","false","","",""
"Effective Java","Joshua Bloch","","2017","","false","","",""
"Clean Architecture: A Craftsman's Guide to Software Structure and Design","Robert C. Martin","Clean Architecture","2017","","false","","",""
"The Clean Coder","Robert C. Martin","","2011","","false","","",""
"Working Effectively with Legacy Code","Michael Feathers","","2004","","false","","",""
"Domain-Driven Design","Eric Evans","Domain-Driven Design: Tackling Complexity in the Heart of Software","2003","","false","","",""
"Continuous Delivery","Jez Humble and David Farley","","2010","","false","","",""
"Accelerate","Nicole Forsgren and Jez Humble and Gene Kim","","2018","","false","","",""
"Peopleware: Productive Projects and Teams","Tom DeMarco and Timothy Lister","Peopleware","1987","","false","","",""
"The Design of Everyday Things","Don Norman","","1988","","false","","",""
"Thinking, Fast and Slow","Daniel Kahneman","","2011","","false","","",""
"Superintelligence: Paths, Dangers, Strategies","Nick Bostrom","Superintelligence","2014","","false","","",""
"Life 3.0: Being Human in the Age of Artificial Intelligence","Max Tegmark","Life 3.0","2017","","false","","",""
"The Alignment Problem","Brian Christian","","2020","","false","","",""
"Weapons of Math Destruction","Cathy O'Neil","","2016","","false","","",""
"Dune","Frank Herbert","","1965","Dune Chronicles","false","","",""
"Dune Messiah","Frank Herbert","","1969","Dune Chronicles","false","","",""
"Children of Dune","Frank Herbert","","1976","Dune Chronicles","false","","",""
"Foundation","Isaac Asimov","","1951","Foundation","false","","",""
"Foundation and Empire","Isaac Asimov","","1952","Foundation","false","","",""
"Second Foundation","Isaac Asimov","","1953","Foundation","false","","",""
"I, Robot","Isaac Asimov","","1950","","false","","",""
"Neuromancer","William Gibson","","1984","Sprawl Trilogy","false","","",""
"Snow Crash","Neal Stephenson","","1992","","false","","",""
"The Three-Body Problem","Liu Cixin","","2008","Remembrance of Earth's Past","false","","",""
"Ender's Game","Orson Scott Card","","1985","Ender's Saga","false","","",""
"The Martian","Andy Weir","","2011","","false","","",""
"Project Hail Mary","Andy Weir","","2021","","false","","",""
"Fahrenheit 451","Ray Bradbury","","1953","","false","","",""
"Fahrenheit 451","Ray Bradbury","","2013","","false","","",""
"Brave New World","Aldous Huxley","","1932","","false","","",""
"1984","George Orwell","Nineteen Eighty-Four","1949","","false","","",""
"Animal Farm","Orwell, George","","1945","","false","","",""
"The Left Hand of Darkness","Ursula K. Le Guin","","1969","Hainish Cycle","false","","",""
"Northern Lights","Philip Pullman","The Golden Compass","1995","His Dark Materials","false","","",""
